Website,Section,Relevant Sentences,Classification from Model,,,
Better,"We may disclose your personal information to a third party for a business purpose. We limit the information that we send service providers, and require that our service providers only use shared personal information to perform the services requested in accordance with our Privacy Policy and have adequate security measures in place to protect any of your shared personal information.

We may share personal information with third parties:

Such as vendors who provide employment verification, degree verification, title, document import, or other necessary services;
Such as our subsidiary and affiliated businesses that provide quality services or products you may be interested in;
For any purpose to which you expressly consent;
To protect our rights or the rights or safety of others; and
As may be required by law or regulation. In the preceding 12 months, we have not sold to another business or any third party any personal information subject to the CCPA.","In the preceding 12 months, we have not sold to another business or any third party any personal information subject to the CCPA.",,,Katie: 50 startups,https://www.linkedin.com/pulse/linkedin-top-startups-2021-50-us-companies-rise-linkedin-news/?trackingId=2ZC4dqy1Ud9OTfRMA%2BU9JQ%3D%3D
Gong,"We disclose personal data in the following ways:

Service Providers: We may engage selected third party companies and individuals to perform services on our behalf or complementary to our own. Such service providers include hosting and server co-location services, communications and content delivery networks (CDNs), data security services, billing and payment processing services, fraud detection and prevention services, web and product analytics, e-mail distribution and monitoring services, session or activity recording services, remote access services, content transcription and analysis services, performance measurement, data optimization and marketing services, social and advertising networks, content and data enrichment providers, event production and hosting services, e-mail, voicemails, support, enablement and customer relation management systems, and our legal, financial and compliance advisors (collectively, “Service Providers“). Our Service Providers may have access to personal information, depending on each of their specific roles and purposes in facilitating and enhancing our Services, and may only use the data as determined in our agreements with them.

Partnerships: We engage selected business and channel partners, resellers, distributors and providers of professional services related to our Services, which allow us to explore and pursue growth opportunities by facilitating a stronger local presence and tailored experiences for our Customers, Users and Prospects. In such instances, we may share relevant contact, business and usage details with the respective partner, to allow them to engage with those entities and individuals for such purposes. If you directly engage with any of our partners, please note that any aspect of that engagement which is not directly related to the Services and directed by Gong is beyond the scope of Gong’s Terms and Conditions and Privacy Policy, and may therefore be covered by the partner’s terms and privacy policy.

Service Integrations: You may choose to use a third-party service to integrate with our Services, for example in order to upload or retrieve personal data to or from the Services, or to enrich the data you have processed on either service or enhance your usage thereof (provided that such integration is supported by our Services). The provider of this integrated third-party service may receive certain relevant data about or from your account on the Services, or share certain relevant data from your account on the third-party provider’s service with our Services, depending on the nature and purpose of such integration. This could include your Customer Data and/or User Data. Note that we do not receive or store your passwords for any of these third-party services (but do typically require your API key in order to integrate with them).

Event Sponsors: If you attend an event or webinar organized by us, or download or access an asset on our Sites related to such an event, webinar or other activity involving third party sponsors or presenters, we may share your personal data with them. If required by applicable law, you may consent to such sharing via the registration form or by allowing your attendee badge to be scanned at a sponsor booth. In these circumstances, your personal data will be subject to the sponsors’ privacy statements. If you do not wish for your personal data to be shared, you may choose to not opt-in via event/webinar registration or elect to not have your badge scanned, or you can opt-out in accordance with Section ‎9 below;

Business Customers: Our Customers have access to any personal data we process on their behalf in our capacity as a “processor” or a “service provider.”

Legal Compliance: We may disclose or allow government and law enforcement officials access to your personal data, in response to a subpoena, search warrant or court order (or similar requirement), or in compliance with applicable laws and regulations. Such disclosure or access may occur if we believe in good faith that: (a) we are legally compelled to do so; (b) disclosure is appropriate in connection with efforts to investigate, prevent, or take action regarding actual or suspected illegal activity, fraud, or other wrongdoing; or (c) such disclosure is required to protect our legitimate business interests, including the security or integrity of our products and services.

Protecting Rights and Safety: We may share personal data with others if we believe in good faith that this will help protect the rights, property or personal safety of Gong, any of our Users or Customers, or any members of the general public.

Gong Subsidiaries and Affiliated Companies: We may share personal data internally within our group, for the purposes described in this Privacy Policy. In addition, should Gong or any of its subsidiaries or affiliates undergo any change in control or ownership, including by means of merger, acquisition or purchase of substantially all or part of its assets, personal data may be shared with or transferred to the parties involved in such an event. We may disclose personal data to a third party during negotiation of, in connection with or as an asset in such a corporate business transaction. Personal data may also be disclosed in the event of insolvency, bankruptcy or receivership.

For the avoidance of doubt, Gong may share personal data in additional manners, pursuant to your explicit approval, or if we are legally obligated to do so, or if we have successfully rendered such data non-personal, non-identifiable and anonymous. We may transfer, share or otherwise use non-personal and non-identifiable data at our sole discretion and without the need for further approval. ... We do not sell your personal information for the intents and purposes of CCPA. We may disclose personal data with third parties or allow them to collect personal data from our Services as described in Section ‎5 above, if those third parties are authorised Service Providers or business partners who have agreed to our contractual limitations as to their retention, use, and disclosure of such personal data, or if you integrate the services of third parties with our Services, or direct us to disclose your personal data to third parties.","We do not sell your personal information for the intents and purposes of CCPA. We may disclose personal data with third parties or allow them to collect personal data from our Services as described in Section ‎5 above, if those third parties are authorised Service Providers or business partners who have agreed to our contractual limitations as to their retention, use, and disclosure of such personal data, or if you integrate the services of third parties with our Services, or direct us to disclose your personal data to third parties.",,,Andrew: 50 mobile,
Glossier,"California law requires that we provide transparency about personal data we ""sell,"" which for the purposes of the CCPA broadly means scenarios in which we have shared personal data with third parties in exchange for valuable consideration. Glossier does not sell your personal data to other companies for money; however, we do allow our advertising partners to collect certain information to show you ads that are targeted to your interests, which may be considered a “sale” in California. In the preceding 12 months, we have allowed our advertising partners to collect identifiers, commercial information, and Internet or other electronic network activity information for targeted advertising purposes. You have the right to opt out of having your information used for targeted advertising at any time on www.glossier.com by clicking here and on www.intothegloss.com by clicking here or by clicking the “Do Not Sell My Personal Information” link located in the footer of each respective page. We do not knowingly sell personal information about consumers under the age of 16.","Glossier does not sell your personal data to other companies for money; however, we do allow our advertising partners to collect certain information to show you ads that are targeted to your interests, which may be considered a “sale” in California.",,,,
Brex,"We do not and will not sell or allow our service providers to process your personal information for their own use without your express consent, unless the processing of that information is either required by law or we determine that disclosure is reasonably necessary to enforce our rights, protect our property or operations, or enforce the rights and protect the property or operations of our business partners and customers.","We do not and will not sell or allow our service providers to process your personal information for their own use without your express consent, unless the processing of that information is either required by law or we determine that disclosure is reasonably necessary to enforce our rights, protect our property or operations, or enforce the rights and protect the property or operations of our business partners and customers.",,,,
Clubhouse,"We do not sell personal information. In the ordinary course of business, we may share personal information with:

Service providers. Companies and individuals that provide services on our behalf or help us operate the App or our business (such as hosting, analytics, customer support, email and SMS delivery).

Professional advisors. Professional advisors, such as lawyers, auditors, bankers, and insurers, where necessary in the course of the professional services that they render to us.

Authorities and others. Law enforcement, government authorities, and private parties as we believe necessary to: (a) protect our, your, or others’ rights, privacy, safety, or property (including by making and defending legal claims); (b) enforce the Terms of Service that govern the App; and (c) protect, investigate and deter against fraudulent, harmful, unauthorized, unethical, or illegal activity.

Subsidiaries and affiliates. If we were to engage in a merger, acquisition, bankruptcy, dissolution, reorganization, or similar transaction or proceeding that involves the transfer of the information described in this Policy, we may share your information with a party involved in such a process (for example, a potential purchaser).",We do not sell personal information.,,,,
Attentive,"The CCPA also provides California residents with the right to opt out of the “sale” of personal information.  Based on the definition of “sell” under the CCPA and under current regulatory guidance, we do not sell personal information. However, if you choose to limit the use of cookies and tracking technologies through your use of our website, please review the information in the “Online Analytics and Interest-Based Marketing” section.

Please note that we also do not knowingly sell the personal information of minors under 16 years of age without legally required affirmative authorization.","Based on the definition of “sell” under the CCPA and under current regulatory guidance, we do not sell personal information.",,,,
Youth to the People,"Youth to the People may share your personal information in the following circumstances:

Service providers. We may share your personal information with companies that perform services for us, such as fulfilling orders, delivering packages, sending postal mail, e-mails, and SMS (Text) Messages, analyzing customer data, providing marketing assistance, processing credit card payments, investigating fraudulent activity, conducting customer surveys, and providing customer service. If you sign up for our newsletter and are a U.S. client, we share this e-mail list information with our third party advertising agency Google and with Facebook and Shopify to help them better target marketing e-mail deployments and advertising to consumers. Google, Facebook and Shopify do not have the right to share e-mail addresses or any specific e-mail activity data with other third parties that are not Youth to the People service providers (although they may share aggregate/non-specific activity data). Should you wish to opt out of this sharing, you simply need to opt out of e-mail communications from us, either through the unsubscribe function in MailChimp or by contacting through email directly.  
Social Networks, Widgets, and Plug-ins. If you use any features made available to you on our website by a third party it may result in information being collected or shared between us and the third party. For example, if you share a link to our product information with your followers on Twitter, that information will be posted on Twitter.
Other instances. Youth to the People may share your personal information in order to protect the legal rights of our company, our employees, our agents, and our affiliates, to protect the safety and security of our visitors, to detect and protect against fraud, or to comply with law or legal process.
Business transition. Youth to the People may share your personal information with another company that buys some, or all, of the assets or stock of Youth to the People, and that company may use and disclose personal information for purposes similar to those described in this policy. Youth to the People may also share personal information with prospective purchasers to evaluate the proposed transaction.
Youth to the People may share de-identified information (i.e., information that is not directly connected to your name) in the following circumstances in addition to those identified above:

Aggregate information. We may share de-identified aggregate information about our customers with advertisers and marketing partners.
Behavioral-based advertising. A third party may use technology (e.g., a cookie) to collect information about your use of our website and other websites so that they can provide advertising about products and services tailored to your interest. That advertising may appear either on our website, or on other websites.  ","Youth to the People may share your personal information in the following circumstances:

Service providers. We may share your personal information with companies that perform services for us, such as fulfilling orders, delivering packages, sending postal mail, e-mails, and SMS (Text) Messages, analyzing customer data, providing marketing assistance, processing credit card payments, investigating fraudulent activity, conducting customer surveys, and providing customer service. If you sign up for our newsletter and are a U.S. client, we share this e-mail list information with our third party advertising agency Google and with Facebook and Shopify to help them better target marketing e-mail deployments and advertising to consumers. Google, Facebook and Shopify do not have the right to share e-mail addresses or any specific e-mail activity data with other third parties that are not Youth to the People service providers (although they may share aggregate/non-specific activity data). Should you wish to opt out of this sharing, you simply need to opt out of e-mail communications from us, either through the unsubscribe function in MailChimp or by contacting through email directly.  
Social Networks, Widgets, and Plug-ins. If you use any features made available to you on our website by a third party it may result in information being collected or shared between us and the third party. For example, if you share a link to our product information with your followers on Twitter, that information will be posted on Twitter.
Other instances. Youth to the People may share your personal information in order to protect the legal rights of our company, our employees, our agents, and our affiliates, to protect the safety and security of our visitors, to detect and protect against fraud, or to comply with law or legal process.
Business transition. Youth to the People may share your personal information with another company that buys some, or all, of the assets or stock of Youth to the People, and that company may use and disclose personal information for purposes similar to those described in this policy. Youth to the People may also share personal information with prospective purchasers to evaluate the proposed transaction.
Youth to the People may share de-identified information (i.e., information that is not directly connected to your name) in the following circumstances in addition to those identified above:

Aggregate information. We may share de-identified aggregate information about our customers with advertisers and marketing partners.
Behavioral-based advertising. A third party may use technology (e.g., a cookie) to collect information about your use of our website and other websites so that they can provide advertising about products and services tailored to your interest. That advertising may appear either on our website, or on other websites.  ",,,,
Outreach,"We do not sell directly identifiable personal information to third parties.

If you are a California resident our default cookie settings may constitute a sale of personal information. You can change your cookie settings under the Cookies section above
","We do not sell directly identifiable personal information to third parties.

If you are a California resident our default cookie settings may constitute a sale of personal information. ",,,,
MikMak,"We may share your personal data as follows:

Third Parties Designated by You. We may share your personal data with third parties where you have provided your consent to do so. 
Our Customers and Retailers. When you, as an End User, provide us with personal data by interacting with content provided by Customers using our Services, we may share your personal data with that Customer and the retailers our Customers work with to fill your orders. Our Customers such retailers have their own privacy policies and we do not accept any responsibility or liability for their websites, features, or policies.
Our Third-Party Service Providers. We may share your personal data with our third-party service providers who provide services such as data analysis, information technology and related infrastructure provision, customer service, email delivery, auditing and other similar services. These third parties are only permitted to use your personal data to the extent necessary to enable them to provide their services to us. They are required to follow our express instructions and to comply with appropriate security measures to protect your personal data.
Corporate Restructuring. We may share personal data when we do a business deal, or negotiate a business deal, involving the sale or transfer of all or a part of our business or assets. These deals can include any merger, financing, acquisition, or bankruptcy transaction or proceeding.
Other Disclosures. We may share personal data as we believe necessary or appropriate: (a) to comply with applicable laws; (b) to comply with lawful requests and legal process, including to respond to requests from public and government authorities to meet national security or law enforcement requirements; (c) to enforce our Policy; and (d) to protect our rights, privacy, safety or property, and/or that of you or others. ... The California Consumer Privacy Act (“CCPA”) provides consumers with specific rights regarding their personal data. If you qualify as a consumer under the CCPA, you have the right to request that businesses subject to the CCPA (which may include our Customers with whom you have a relationship) disclose certain information to you about their collection and use of your personal data. In addition, you have the right to ask such businesses to delete personal data collected from you, subject to certain exceptions. If the business sells personal data, you have a right to opt-out of that sale. Finally, a business cannot discriminate against you for exercising a CCPA right.","We may share your personal data as follows:

Third Parties Designated by You. We may share your personal data with third parties where you have provided your consent to do so. 
Our Customers and Retailers. When you, as an End User, provide us with personal data by interacting with content provided by Customers using our Services, we may share your personal data with that Customer and the retailers our Customers work with to fill your orders. Our Customers such retailers have their own privacy policies and we do not accept any responsibility or liability for their websites, features, or policies.
Our Third-Party Service Providers. We may share your personal data with our third-party service providers who provide services such as data analysis, information technology and related infrastructure provision, customer service, email delivery, auditing and other similar services. These third parties are only permitted to use your personal data to the extent necessary to enable them to provide their services to us. They are required to follow our express instructions and to comply with appropriate security measures to protect your personal data.
Corporate Restructuring. We may share personal data when we do a business deal, or negotiate a business deal, involving the sale or transfer of all or a part of our business or assets. These deals can include any merger, financing, acquisition, or bankruptcy transaction or proceeding.
Other Disclosures. We may share personal data as we believe necessary or appropriate: (a) to comply with applicable laws; (b) to comply with lawful requests and legal process, including to respond to requests from public and government authorities to meet national security or law enforcement requirements; (c) to enforce our Policy; and (d) to protect our rights, privacy, safety or property, and/or that of you or others. ... The California Consumer Privacy Act (“CCPA”) provides consumers with specific rights regarding their personal data. If you qualify as a consumer under the CCPA, you have the right to request that businesses subject to the CCPA (which may include our Customers with whom you have a relationship) disclose certain information to you about their collection and use of your personal data. In addition, you have the right to ask such businesses to delete personal data collected from you, subject to certain exceptions. If the business sells personal data, you have a right to opt-out of that sale. Finally, a business cannot discriminate against you for exercising a CCPA right.",,,,
Brooklinen,"We share your Personal Information with third parties to help us use your Personal Information, as described above.  For example, we use Shopify to power our online store--you can read more about how Shopify uses your Personal Information here: https://www.shopify.com/legal/privacy. We also use Google Analytics to help us understand how our customers use the Site--you can read more about how Google uses your Personal Information here: https://www.google.com/intl/en/policies/privacy. You can also opt-out of Google Analytics here: https://tools.google.com/dlpage/gaoptout.

Finally, we may also share your Personal Information to comply with applicable laws and regulations, to respond to a subpoena, search warrant or other lawful request for information we receive, or to otherwise protect our rights.","We share your Personal Information with third parties to help us use your Personal Information, as described above.  For example, we use Shopify to power our online store--you can read more about how Shopify uses your Personal Information here: https://www.shopify.com/legal/privacy. We also use Google Analytics to help us understand how our customers use the Site--you can read more about how Google uses your Personal Information here: https://www.google.com/intl/en/policies/privacy. You can also opt-out of Google Analytics here: https://tools.google.com/dlpage/gaoptout.

Finally, we may also share your Personal Information to comply with applicable laws and regulations, to respond to a subpoena, search warrant or other lawful request for information we receive, or to otherwise protect our rights.",,,,
