Website,Classification,Section,Relevant Sentences,
Github,No Sale,"Under the CCPA, a business that sells California residents' personal information to others: 1) must give notice to California residents before selling their personal information to others; and 2) must provide the right to opt out of the sale of their personal information.

GitHub does not sell personal information, including personal information of anyone under 16 years old. Thus, these notification and opt-out requirements do not apply to GitHub.","GitHub does not sell personal information, including personal information of anyone under 16 years old.",
Capital One,Unspecified,"In the past 12 months, we have not shared personal information relating to California residents in a manner that we consider a sale within the meaning of the CCPA.","In the past 12 months, we have not shared personal information relating to California residents in a manner that we consider a sale within the meaning of the CCPA.",Unspecified b/c their definition of sale could counter with what CCPA enforcers consider sale
Wordpress,Unspecified,"WordPress.org will not rent or sell potentially personally-identifying and personally-identifying information to anyone. Other than to project administrators, employees, contractors, and affiliated organizations, as described above, WordPress.org discloses potentially personally-identifying and personally-identifying information only when required to do so by law, if you give permission to have your information shared, or when WordPress.org believes in good faith that disclosure is reasonably necessary to protect the property or rights of WordPress.org, third parties, or the public at large... We will not sell or lease your personal information to third parties unless we have your permission or are required by law to do so.",WordPress.org will not rent or sell potentially personally-identifying and personally-identifying information to anyone... We will not sell or lease your personal information to third parties unless we have your permission or are required by law to do so.,Conflicting statements
Breitbart,Sale,Do Not Sell: Californian residents have the right to opt-out of having their personal information sold.,Do Not Sell: Californian residents have the right to opt-out of having their personal information sold.,No sale only if you opt out
Bank of America,No Sale,"In the past 12 months, we have not “sold” Personal Information subject to the CCPA, including Personal Information of minors under the age of 16. For purposes of this Notice, “sold” means the disclosure of Personal Information to a third-party for monetary or other valuable consideration.","In the past 12 months, we have not “sold” Personal Information subject to the CCPA, including Personal Information of minors under the age of 16",
UPS,Sale,"We have disclosed email addresses of certain customers of UPS for monetary or other valuable consideration within the twelve (12) months preceding the effective date of this Privacy Notice to customers who purchase shipping services from UPS and business partners who support UPS transportation operations, such as business partners at which UPS has located Access Point lockers. As is common practice among businesses that operate Internet Web sites, we may also have disclosed certain identifiers, information about the use of our websites and apps, and inferences drawn about you to our social media, advertising, and analytics partners for monetary or other valuable consideration. These disclosures may qualify as “sales” of personal information under California law.

We have disclosed personal information in all or substantially all of the categories identified in this Additional Notice for California Resident Consumers for various business purposes. For more information about the categories of personal information we have disclosed, the categories of entities with which we have disclosed this information and the purposes for which we have disclosed the information, please see “Information We Share.”

We do not disclose personal information of individuals we know to be under the age of 16 to business or third parties for monetary or other valuable consideration as a “sale” under California law, without affirmative authorization... You have the right to opt out of the disclosure of personal information about you for monetary or other valuable consideration. To opt-out, click Do Not Sell My Personal Information.","These disclosures may qualify as “sales” of personal information under California law... You have the right to opt out of the disclosure of personal information about you for monetary or other valuable consideration. To opt-out, click Do Not Sell My Personal Information.",
Canva,No Sale,"Canva does not ""sell"" (as defined in the CCPA) the personal information of Canva users.","Canva does not ""sell"" (as defined in the CCPA) the personal information of Canva users.","""We will not rent or sell your information to third parties outside Canva and its group companies (including any parent, subsidiaries and affiliates) without your consent, except as noted in this section:"" for non-CA residents

"
Salesforce,No Sale,"The California Consumer Privacy Act requires businesses to disclose whether they sell Personal Data. As a business covered by the CCPA, we do not sell Personal Data. We may share Personal Data with third parties or allow them to collect Personal Data from our sites or Services if those third parties are authorized service providers or business partners who have agreed to our contractual limitations as to their retention, use, and disclosure of such Personal Data, or if you use Salesforce sites or Services to interact with third parties or direct us to disclose your Personal Data to third parties.","As a business covered by the CCPA, we do not sell Personal Data. ",
Okta,Unspecified,"Right to Opt-Out of the Sale of Personal Data. You have the right to opt-out of the sale of your Personal Data by us as a business, in the event we sell Personal Data.","Advertising and Marketing. We share your Personal Data, such as metadata and contact data, with third-party advertising and marketing providers, to allow us to better reach our customers and prospective customers, and to sell our products and services. Partners and Resellers. We share your Personal Data, such as contact information, business details, and content interest and activity details, with our partners and resellers for business purposes, such as to carry out our business or for joint marketing efforts to reach our customers and prospective customers. You have the right to opt-out of the sale of your Personal Data by us as a business, in the event we sell Personal Data.",
Wells Fargo,No Sale ,California residents have the right to opt out of the sale of their information by businesses that sell Personal Data. The CCPA defines a “sale” as the disclosure of Personal Data for monetary or other valuable consideration. Wells Fargo does not offer an opt out from the sale of Personal Data because we do not and have not within at least the last 12 months sold Personal Data that is subject to the CCPA’s sale limitation. The CCPA also requires that we state that we have no actual knowledge that we have sold Personal Data of California residents 15 years of age and younger.,Wells Fargo does not offer an opt out from the sale of Personal Data because we do not and have not within at least the last 12 months sold Personal Data that is subject to the CCPA’s sale limitation.,
Indeed,Sale,"To learn more about Indeed’s approach to California’s “Do not sell my personal information” requirement, why it applies to your use of our Site, and how you can exercise this right, please go to https://www.indeed.com/legal/ccpa-dns. There, we explain how California has defined as “sales” under the CCPA certain transfers of Personal Data between Indeed and its affiliates that are integral to the products and services we offer to our users. We do not “sell” your Personal Data in the traditional sense. More information on Indeed’s affiliates and our inter-affiliate transfers can be found in our Privacy Center at https://hrtechprivacy.com/.","We do not “sell” your Personal Data in the traditional sense. What Indeed does that may fall under this definition 
This list is not meant to be exclusive but shows examples of what our products do.  We say “may” fall under the definition of “selling” data because the CCPA is new and these issues are not yet resolved.

We display your public resume to employers and recruiters.
We recommend your public resume to employers and recruiters.
We allow third-party cookies to help employers measure job listing performance and to optimize our online advertising.
We share data with our affiliates as described in our Privacy Center (https://hrtechprivacy.com).
What Indeed does not do 
We don’t sell data to data brokers.
We don’t exchange information about you with a third party for money. 
Reasons Indeed “sells” or “transfers” your data 
Each reason below is inherent in our mission to help you find jobs. For example, when we show a public resume to an employer, it is because a person looking for a job has made their resume public in order to show themself to an employer.

Showing public resumes to employers is how we help people who have made their resume public get jobs.
Allowing employers to measure job listing performance helps drive more jobs to the people who want those jobs.
Sharing data with our Indeed affiliates allows people looking for jobs to access more job listings and employers, and for employers to access more people looking for jobs, as well as providing improved security for our users.",
